timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
3724392.49,14873,4.283,14.825,19.108
3724391.1,14874,0.611,17.774,18.385
3724523.5,14875,0.326,4.375,4.701
3724528.75,14873,1.061,4.916,5.977
3724542.25,14874,0.132,8.323,8.455
3724559.62,14875,0.126,7.269,7.396
3724596.26,14873,0.171,5.546,5.717
3724651.61,14874,0.177,7.877,8.053
3724708.32,14875,0.801,4.538,5.339
3724764.82,14873,0.17,4.418,4.589
3724767.37,14874,1.781,5.157,6.938
3724923.71,14875,0.252,4.979,5.231
3724930.52,14873,0.174,4.214,4.388
3724931.69,14874,0.078,4.109,4.187
3724949.35,14875,0.144,4.182,4.326
3724960.78,14873,0.126,4.18,4.306
3725007.81,14874,0.211,4.057,4.268
3725044.5,14875,0.269,4.436,4.706
3725055.09,14873,0.1,4.09,4.19
3725066.66,14874,0.095,4.06,4.156
3725086.92,14875,0.153,6.065,6.218
3725111.92,14873,0.101,4.096,4.197
3725136.37,14874,0.196,6.08,6.277
3725146.24,14875,0.069,4.018,4.087
3725149.15,14873,0.701,4.076,4.778
3725163.0,14875,0.238,4.308,4.547
3725179.91,14874,0.153,4.007,4.16
3725192.05,14873,0.122,4.1,4.222
3725222.39,14873,0.09,5.497,5.587
3725223.92,14875,2.285,11.816,14.101
3725225.28,14874,0.124,11.118,11.242
3725248.46,14873,0.578,4.295,4.873
3725277.91,14875,0.112,6.687,6.8
3725304.25,14874,0.158,4.092,4.251
3725312.43,14873,0.088,3.992,4.08
3725323.32,14875,0.084,4.168,4.252
3725326.66,14874,0.054,6.951,7.006
3725329.47,14873,0.059,5.854,5.913
3725382.08,14875,0.248,4.267,4.515
3725392.44,14874,0.194,8.079,8.272
3725392.83,14873,0.227,6.75,6.976
3725405.63,14875,0.069,6.81,6.88
3725426.5,14873,0.113,4.22,4.333
3725428.43,14874,0.102,4.155,4.257
3725448.2,14875,0.294,5.819,6.113
3725465.03,14874,0.14,4.51,4.649
3725466.08,14873,0.137,8.882,9.018
3725485.62,14875,0.086,4.896,4.983
3725563.76,14874,2.216,7.638,9.855
3725604.35,14873,0.385,10.499,10.884
3725630.52,14875,0.179,13.258,13.437
3725644.39,14874,2.364,6.309,8.673
3725657.59,14873,0.238,4.163,4.401
3725660.25,14875,0.095,4.086,4.181
3725667.56,14874,0.213,4.233,4.445
3725669.31,14873,0.118,4.132,4.25
3725685.31,14875,0.369,5.195,5.565
3725696.23,14874,0.146,4.738,4.884
3725704.49,14873,0.09,6.181,6.27
3725714.07,14875,0.064,7.963,8.027
3725721.68,14874,0.05,5.925,5.975
3725755.71,14873,0.186,8.337,8.524
3725758.68,14875,0.228,7.276,7.504
3725766.01,14874,0.149,5.476,5.625
3725783.89,14873,0.167,12.007,12.174
3725790.05,14875,2.537,11.839,14.376
3725815.17,14874,0.107,5.684,5.791
3725844.12,14873,0.218,7.143,7.361
3725845.68,14875,0.139,6.333,6.472
3725894.32,14874,0.109,5.409,5.518
3725909.72,14873,0.168,4.096,4.264
3725916.53,14875,0.258,4.152,4.411
3725955.34,14874,1.08,8.139,9.219
3725956.9,14873,0.09,7.743,7.833
3725975.01,14875,0.079,3.969,4.048
3725984.6,14874,0.102,4.145,4.248
3726010.41,14873,0.318,4.648,4.966
3726015.12,14875,0.166,4.896,5.062
3726029.81,14873,0.156,6.261,6.416
3726046.38,14874,2.229,7.093,9.323
3726054.52,14875,0.087,7.963,8.05
3726078.29,14873,0.212,6.417,6.628
3726081.91,14874,0.173,6.112,6.284
3726103.26,14875,0.395,7.211,7.606
3726162.66,14873,0.247,7.165,7.412
3726163.57,14874,0.183,7.134,7.317
3726184.99,14875,0.355,7.496,7.85
3726193.91,14873,0.151,6.625,6.777
3726239.62,14874,0.186,6.152,6.338
3726278.86,14875,0.251,12.423,12.674
3726291.62,14875,0.112,8.436,8.548
3726293.69,14873,2.42,19.199,21.619
3726295.06,14874,0.101,17.899,18.0
3726301.96,14873,7.893,8.152,16.045
3726318.03,14875,0.141,4.442,4.583
3726331.26,14874,0.329,4.108,4.436
3726387.3,14873,2.052,8.146,10.199
3726394.96,14875,0.112,6.028,6.14
3726411.07,14874,0.229,6.29,6.519
3726413.4,14873,0.105,5.233,5.338
3726472.82,14875,2.073,9.254,11.327
3726473.79,14874,1.865,10.13,11.995
3726488.2,14873,0.127,4.03,4.157
3726495.1,14874,0.293,4.061,4.353
3726514.29,14875,0.443,4.244,4.687
3726520.14,14873,0.119,4.851,4.97
3726529.8,14874,0.164,4.874,5.038
3726547.64,14875,0.121,8.429,8.549
3726558.19,14873,0.13,7.058,7.188
3726567.93,14874,0.104,4.099,4.203
3726599.76,14875,0.225,6.431,6.656
3726601.62,14873,0.124,6.75,6.875
3726603.83,14874,0.061,4.714,4.775
3726605.95,14875,0.742,4.244,4.986
3726612.43,14874,0.081,6.36,6.44
3726631.87,14875,1.959,5.978,7.937
3726635.17,14873,2.5,7.077,9.577
3726645.62,14874,0.077,6.644,6.721
3726647.21,14875,1.322,6.116,7.438
3726650.08,14873,0.081,4.096,4.177
3726673.98,14875,0.237,5.242,5.48
3726692.04,14874,0.264,7.247,7.512
3726706.04,14873,1.075,11.906,12.981
3726708.79,14875,1.75,10.686,12.436
3726719.85,14874,0.059,5.994,6.053
3726738.89,14873,0.17,4.13,4.3
3726752.07,14875,0.237,6.556,6.793
3726775.12,14874,0.535,9.906,10.441
3726785.2,14873,0.222,11.212,11.434
3726802.9,14875,0.073,6.884,6.957
3726861.89,14874,0.749,12.693,13.443
3726884.08,14873,2.305,6.004,8.309
3726933.14,14874,0.156,7.506,7.662
3726933.62,14875,0.391,11.631,12.022
3726954.29,14873,1.043,8.171,9.214
3727008.79,14874,0.403,9.163,9.566
3727046.27,14875,0.153,4.036,4.19
3727137.99,14873,0.16,4.682,4.842
3727195.39,14874,1.668,13.203,14.871
3727242.86,14875,0.316,10.395,10.711
3727285.0,14873,2.311,8.809,11.119
3727300.64,14874,0.102,6.466,6.568
3727321.54,14875,0.509,4.17,4.679
3727441.76,14873,0.157,8.53,8.688
3727580.55,14874,0.821,11.233,12.053
3727626.51,14875,0.158,4.367,4.525
3727630.02,14873,0.091,3.978,4.069
3727682.68,14874,0.55,16.696,17.246
3727696.44,14873,0.094,13.296,13.391
3727696.51,14875,0.837,13.857,14.693
3727700.56,14874,0.066,7.451,7.517
3727709.69,14873,0.087,10.034,10.121
3727711.0,14875,0.094,5.865,5.96
3727729.52,14874,0.249,4.229,4.479
3727742.0,14873,0.135,4.9,5.036
3727770.09,14875,0.397,11.666,12.063
3727783.49,14874,1.029,8.409,9.438
3727804.66,14873,0.109,4.911,5.02
3727806.54,14875,0.073,4.105,4.177
3727808.82,14874,0.697,4.094,4.791
3727865.15,14875,0.339,15.438,15.777
3727966.21,14873,0.178,18.917,19.096
3728013.79,14874,0.285,3.993,4.278
3728020.96,14875,0.134,4.463,4.597
3728068.21,14873,0.307,4.015,4.322
3728068.47,14874,0.146,4.187,4.333
3728078.61,14875,0.092,4.141,4.233
3728091.64,14873,0.126,7.396,7.522
3728108.27,14874,0.1,6.113,6.213
3728121.32,14875,0.08,4.018,4.098
3728129.16,14873,0.088,4.014,4.102
3728169.69,14874,0.357,9.997,10.354
3728177.12,14875,0.196,6.914,7.111
3728188.68,14873,0.187,8.422,8.609
3728215.03,14874,0.217,4.049,4.266
3728219.12,14875,0.158,4.129,4.287
3728246.37,14874,0.491,7.174,7.665
3728247.26,14873,0.794,8.355,9.149
3728315.18,14875,1.099,6.995,8.094
3728332.07,14874,0.117,8.201,8.318
3728332.58,14873,0.067,5.431,5.498
3728338.33,14875,0.158,4.496,4.655
3728345.53,14874,0.076,6.111,6.187
3728355.11,14873,0.064,9.265,9.328
3728356.7,14875,0.109,7.194,7.303
3728361.86,14874,0.094,5.732,5.825
3728376.89,14875,0.075,4.152,4.227
3728384.42,14873,0.089,4.164,4.253
3728415.1,14874,0.18,8.236,8.416
3728437.06,14875,1.835,15.826,17.66
3728453.65,14873,0.174,16.662,16.836
3728475.33,14875,4.667,16.171,20.838
3728521.84,14874,0.161,9.226,9.387
3728528.34,14873,0.261,6.179,6.44
3728572.02,14875,2.765,8.88,11.645
3728587.12,14873,0.082,5.09,5.173
3728590.18,14874,0.134,10.158,10.292
3728674.03,14875,0.095,4.092,4.187
3728688.44,14873,0.513,6.626,7.139
3728691.09,14874,0.126,5.924,6.05
3728705.38,14875,0.305,6.23,6.535
3728766.72,14873,0.161,4.62,4.781
3728793.22,14874,0.786,9.745,10.531
3728811.27,14875,2.044,13.172,15.216
3728817.59,14873,0.077,6.181,6.258
3728850.74,14874,0.466,6.172,6.637
3728862.64,14875,0.16,8.288,8.448
3728868.65,14873,0.869,5.818,6.688
