timestamp_ms,pid,cpu_burst_ms,ground_truth
3966942.28,17720,9.6651,LC
3966948.3,17723,29.6776,BG
3967012.43,17721,11.1488,LC
3967033.33,17723,34.0292,BG
3967114.27,17722,7.9623,LC
3967123.34,17723,38.7282,BG
3967147.12,17720,4.2153,LC
3967177.24,17721,4.5731,LC
3967192.54,17722,4.2423,LC
3967198.78,17720,3.8928,LC
3967198.85,17723,25.5993,BG
3967213.44,17721,4.9107,LC
3967286.16,17723,36.753,BG
3967297.33,17722,7.6197,LC
3967365.0,17720,4.6645,LC
3967370.32,17723,34.1782,BG
3967505.55,17723,83.39,BG
3967534.19,17721,12.3918,LC
3967554.13,17722,13.5071,LC
3967561.19,17720,18.4306,LC
3967610.28,17721,10.44,LC
3967627.36,17723,70.9289,BG
3967632.67,17722,4.7337,LC
3967692.83,17720,7.2627,LC
3967706.3,17723,28.8738,BG
3967718.7,17721,5.1738,LC
3967741.7,17722,9.1596,LC
3967776.48,17720,12.5377,LC
3967806.05,17721,13.8989,LC
3967825.14,17723,65.8125,BG
3967834.4,17722,7.1676,LC
3967874.38,17720,5.0939,LC
3967908.46,17721,5.9391,LC
3967916.31,17723,39.235,BG
3968015.24,17722,18.486,LC
3968043.56,17720,15.6625,LC
3968060.13,17721,21.7685,LC
3968081.98,17723,115.5065,BG
3968082.06,17722,12.4269,LC
3968086.28,17720,11.9921,LC
3968123.05,17721,14.1031,LC
3968165.47,17723,33.1225,BG
3968214.21,17722,9.6754,LC
3968259.83,17720,4.4871,LC
3968259.93,17723,43.5036,BG
3968369.33,17721,6.3298,LC
3968376.92,17723,66.9175,BG
3968419.02,17722,7.8467,LC
3968430.16,17720,5.0363,LC
3968459.62,17723,31.4049,BG
3968520.43,17721,7.2094,LC
3968543.27,17723,33.4736,BG
3968561.65,17722,6.0766,LC
3968620.7,17723,27.1883,BG
3968718.57,17723,47.276,BG
3968728.18,17720,10.7451,LC
3968763.8,17721,8.3787,LC
3968768.99,17722,5.1078,LC
