timestamp_ms,pid,cpu_burst_ms,ground_truth
2236885.32,10841,4.3171,LC
2236889.25,10840,7.9981,LC
2236904.54,10843,31.895,BG
2236924.49,10842,4.4554,LC
2236966.13,10841,7.1045,LC
2236989.59,10843,34.8987,BG
2237021.05,10840,6.1022,LC
2237053.23,10842,6.2444,LC
2237055.71,10841,4.5357,LC
2237069.1,10843,29.5334,BG
2237149.73,10840,14.9709,LC
2237183.14,10842,9.7139,LC
2237188.89,10843,69.6251,BG
2237211.02,10841,7.9278,LC
2237228.24,10840,7.2301,LC
2237232.66,10842,5.7708,LC
2237262.63,10840,7.7493,LC
2237274.85,10843,35.8256,BG
2237311.27,10841,5.0619,LC
2237349.03,10843,23.7962,BG
2237391.1,10842,6.144,LC
2237423.92,10843,23.3366,BG
2237508.79,10843,34.5508,BG
2237537.44,10840,4.676,LC
2237547.12,10841,6.2431,LC
2237567.08,10842,5.642,LC
2237575.17,10840,4.4727,LC
2237588.94,10843,30.0387,BG
2237653.48,10841,16.6117,LC
2237654.7,10842,11.4863,LC
2237670.28,10843,31.1218,BG
2237733.78,10841,8.9323,LC
2237733.89,10840,11.2662,LC
2237746.7,10843,26.1843,BG
2237839.18,10843,40.2096,BG
2237841.16,10842,6.335,LC
2237845.61,10840,4.4943,LC
2237891.34,10841,5.3211,LC
2237909.29,10842,4.0612,LC
2237913.94,10843,24.6468,BG
2237918.98,10840,4.7507,LC
2237925.03,10841,4.1087,LC
2237990.87,10842,6.1849,LC
2237998.58,10843,34.3707,BG
2238085.61,10843,36.7548,BG
2238150.44,10840,11.3399,LC
2238174.12,10843,36.8124,BG
2238175.09,10841,5.6179,LC
2238238.17,10842,7.7387,LC
2238261.38,10843,36.9563,BG
2238283.19,10840,5.3202,LC
2238348.14,10843,36.5059,BG
2238349.29,10841,6.9361,LC
2238433.11,10842,4.0909,LC
2238434.93,10843,36.4175,BG
2238523.08,10843,37.6557,BG
2238545.09,10840,6.5886,LC
2238605.59,10843,32.1037,BG
