timestamp_ms,pid,cpu_burst_ms,ground_truth
11043630.75,27256,7.019,LC
11043641.09,27255,7.2607,LC
11043675.71,27257,34.7157,BG
11043676.33,27254,5.429,LC
11043692.17,27256,4.2914,LC
11043713.11,27255,4.17,LC
11043714.81,27254,4.1565,LC
11043721.68,27256,4.1153,LC
11043727.72,27255,5.9747,LC
11043732.62,27256,4.0574,LC
11043747.08,27254,4.1184,LC
11043751.22,27257,26.004,BG
11043792.31,27255,8.7101,LC
11043804.05,27256,8.0827,LC
11043820.44,27254,4.0227,LC
11043829.68,27257,28.4489,BG
11043889.1,27255,8.8181,LC
11043891.91,27256,8.5319,LC
11043912.66,27257,32.7773,BG
11043956.66,27254,9.9371,LC
11043974.13,27255,7.26,LC
11043987.57,27256,5.675,LC
11043989.48,27254,5.1026,LC
11043999.77,27257,36.4917,BG
11044033.55,27255,4.4008,LC
11044059.39,27256,6.0405,LC
11044071.13,27254,4.1673,LC
11044093.96,27257,42.3064,BG
11044117.2,27255,5.3468,LC
11044123.78,27256,6.6526,LC
11044129.1,27254,4.2825,LC
11044146.8,27255,4.3282,LC
11044152.95,27256,4.1619,LC
11044170.14,27257,26.7591,BG
11044201.67,27254,9.697,LC
11044206.24,27255,7.301,LC
11044227.46,27256,10.4172,LC
11044256.2,27254,5.3524,LC
11044256.34,27255,6.0187,LC
11044260.88,27257,40.333,BG
11044309.44,27256,15.3499,LC
11044309.99,27254,14.0831,LC
11044328.1,27255,6.8116,LC
11044335.24,27256,7.626,LC
11044336.57,27254,5.3692,LC
11044345.54,27257,34.1189,BG
11044347.04,27255,4.4711,LC
11044364.61,27256,5.5797,LC
11044390.4,27254,9.5221,LC
11044396.51,27255,6.9356,LC
11044399.05,27256,6.411,LC
11044415.15,27254,5.6102,LC
11044426.97,27257,30.5295,BG
11044441.84,27255,5.6386,LC
11044476.75,27256,9.6172,LC
11044481.93,27256,8.3757,LC
11044485.08,27255,12.5375,LC
11044485.43,27254,14.608,LC
11044486.55,27254,6.2074,LC
11044505.57,27257,23.1875,BG
11044521.64,27255,4.5632,LC
11044555.24,27256,7.8142,LC
11044568.08,27254,6.3969,LC
11044571.63,27255,6.3401,LC
11044576.28,27256,4.0106,LC
11044585.26,27257,29.6184,BG
11044592.79,27254,4.1735,LC
11044618.93,27255,4.0264,LC
11044621.96,27256,4.603,LC
11044639.59,27255,4.1529,LC
11044640.09,27254,5.953,LC
11044649.5,27256,4.8955,LC
11044651.39,27255,4.0458,LC
11044664.56,27257,28.9777,BG
11044665.61,27254,6.0478,LC
11044668.6,27256,4.1144,LC
11044693.92,27255,7.5979,LC
11044731.44,27254,5.8668,LC
11044744.6,27256,4.2617,LC
11044745.72,27257,30.9146,BG
11044758.21,27255,4.7354,LC
11044801.38,27254,8.7286,LC
11044825.93,27257,29.9354,BG
11044868.2,27256,9.6631,LC
11044908.06,27255,3.9764,LC
11044910.13,27257,33.6628,BG
11044932.45,27254,8.3814,LC
11044977.47,27256,8.7203,LC
11044981.4,27255,7.1159,LC
11044995.33,27257,35.0779,BG
11045031.53,27254,9.4578,LC
11045074.85,27257,29.1362,BG
11045156.54,27256,4.0036,LC
11045162.57,27257,37.4857,BG
11045181.15,27255,6.782,LC
11045213.12,27254,9.704,LC
11045242.02,27257,29.0113,BG
