timestamp_ms,pid,cpu_burst_ms,ground_truth
4297006.3,20545,5.4134,LC
4297012.09,20548,27.3771,BG
4297024.33,20547,6.9561,LC
4297024.52,20546,5.6877,LC
4297041.63,20545,4.7979,LC
4297068.51,20547,6.5556,LC
4297083.41,20546,7.3458,LC
4297084.9,20545,6.2329,LC
4297095.22,20548,32.916,BG
4297114.78,20547,4.49,LC
4297128.18,20546,5.8593,LC
4297170.13,20548,24.711,BG
4297225.71,20545,4.7338,LC
4297230.15,20547,4.3698,LC
4297247.6,20548,27.2032,BG
4297270.62,20545,6.5482,LC
4297279.91,20546,4.6511,LC
4297297.28,20547,4.3323,LC
4297322.51,20548,24.7932,BG
4297340.18,20545,4.4195,LC
4297395.56,20548,22.7324,BG
4297473.55,20548,25.8136,BG
4297489.73,20546,5.3269,LC
4297559.7,20548,36.8755,BG
4297636.16,20547,4.2844,LC
4297636.24,20548,26.9871,BG
4297698.71,20545,11.063,LC
4297721.16,20548,34.4006,BG
4297796.74,20548,25.4104,BG
4297875.94,20548,29.0899,BG
4297962.03,20548,35.8513,BG
4298038.54,20548,25.4665,BG
4298111.31,20548,23.2552,BG
4298189.08,20548,26.8458,BG
4298262.49,20546,7.3465,LC
4298271.68,20547,8.0196,LC
4298274.56,20548,35.1184,BG
4298282.39,20545,3.9007,LC
4298283.72,20546,4.2129,LC
4298355.3,20547,5.0626,LC
4298355.48,20548,30.4865,BG
4298393.38,20545,4.3746,LC
4298395.33,20546,4.6504,LC
4298434.84,20548,28.1672,BG
4298503.12,20547,8.7102,LC
4298514.2,20548,28.3392,BG
4298533.8,20545,4.119,LC
4298556.06,20546,6.2689,LC
4298589.65,20548,26.7576,BG
4298596.39,20547,5.5387,LC
4298667.91,20545,8.1424,LC
4298669.7,20548,29.8096,BG
4298680.17,20546,5.7123,LC
4298713.5,20547,7.0698,LC
4298746.09,20548,24.477,BG
4298758.06,20545,4.2731,LC
4298763.53,20546,5.4755,LC
4298779.13,20545,4.2524,LC
