timestamp,cpu_util,runqueue
12:36:10.874938,0.0,1.54
12:36:10.975804,95.23809523809523,1.54
12:36:11.076109,95.0,1.54
12:36:11.176524,75.0,1.54
12:36:11.278431,55.00000000000001,1.54
12:36:11.378923,55.00000000000001,1.54
12:36:11.479349,70.0,1.54
12:36:11.579738,80.0,1.54
12:36:11.680831,75.0,1.54
12:36:11.781171,80.0,1.54
12:36:11.883982,80.0,1.54
12:36:11.984283,90.0,1.54
12:36:12.085817,94.73684210526316,1.54
12:36:12.188968,95.23809523809523,1.54
12:36:12.290877,100.0,1.54
12:36:12.391179,100.0,1.54
12:36:12.491482,95.0,1.54
12:36:12.591814,94.73684210526316,1.54
12:36:12.692109,65.0,1.54
12:36:12.792928,66.66666666666667,1.54
12:36:12.893741,78.94736842105263,1.54
12:36:12.994817,76.19047619047619,1.54
12:36:13.095106,73.6842105263158,1.54
12:36:13.195470,70.0,1.54
12:36:13.296759,66.66666666666667,1.54
12:36:13.397055,70.0,1.54
12:36:13.497358,71.42857142857143,1.54
12:36:13.597936,70.0,1.54
12:36:13.698248,73.6842105263158,1.54
12:36:13.800929,71.42857142857143,1.54
12:36:13.901213,80.0,1.54
12:36:14.001684,75.0,1.54
12:36:14.102803,70.0,1.54
12:36:14.203086,73.6842105263158,1.54
12:36:14.303415,70.0,1.54
12:36:14.403839,80.0,1.54
12:36:14.504159,70.0,1.54
12:36:14.604502,70.0,1.54
12:36:14.705796,66.66666666666667,1.54
12:36:14.807814,80.95238095238095,1.54
12:36:14.908157,73.6842105263158,1.54
12:36:15.008785,70.0,1.54
12:36:15.109834,65.0,1.54
12:36:15.210131,60.0,1.74
12:36:15.310501,60.0,1.74
12:36:15.411823,75.0,1.74
12:36:15.513797,70.0,1.74
12:36:15.614063,85.0,1.74
12:36:15.714456,75.0,1.74
12:36:15.814823,66.66666666666667,1.74
12:36:15.915260,65.0,1.74
12:36:16.015589,73.6842105263158,1.74
12:36:16.117853,66.66666666666667,1.74
12:36:16.218342,78.94736842105263,1.74
12:36:16.318772,76.19047619047619,1.74
12:36:16.420901,78.94736842105263,1.74
12:36:16.521181,75.0,1.74
12:36:16.621719,75.0,1.74
12:36:16.722829,65.0,1.74
12:36:16.824823,72.72727272727273,1.74
12:36:16.925102,73.6842105263158,1.74
12:36:17.025430,70.0,1.74
12:36:17.125940,60.0,1.74
12:36:17.226366,65.0,1.74
12:36:17.326844,76.19047619047619,1.74
12:36:17.427386,78.94736842105263,1.74
12:36:17.529056,75.0,1.74
12:36:17.629416,70.0,1.74
12:36:17.729821,65.0,1.74
12:36:17.830187,80.0,1.74
12:36:17.930496,90.0,1.74
12:36:18.030821,65.0,1.74
12:36:18.131838,55.00000000000001,1.74
12:36:18.232276,60.0,1.74
12:36:18.335830,66.66666666666667,1.74
12:36:18.436180,70.0,1.74
12:36:18.536639,70.0,1.74
12:36:18.637162,61.904761904761905,1.74
12:36:18.737527,57.89473684210527,1.74
12:36:18.837946,55.00000000000001,1.74
12:36:18.938415,80.0,1.74
12:36:19.040792,70.0,1.74
12:36:19.141102,71.42857142857143,1.74
12:36:19.241560,63.1578947368421,1.74
12:36:19.342816,65.0,1.74
12:36:19.445834,66.66666666666667,1.74
12:36:19.546189,71.42857142857143,1.74
12:36:19.646679,63.1578947368421,1.74
12:36:19.747216,52.38095238095239,1.74
12:36:19.849242,80.0,1.74
12:36:19.949542,78.94736842105263,1.74
12:36:20.049788,80.0,1.74
12:36:20.150856,66.66666666666667,1.74
12:36:20.251843,63.1578947368421,1.84
12:36:20.352122,80.95238095238095,1.84
12:36:20.452393,78.94736842105263,1.84
12:36:20.552721,71.42857142857143,1.84
12:36:20.653809,76.19047619047619,1.84
12:36:20.754115,73.6842105263158,1.84
12:36:20.854821,70.0,1.84
12:36:20.955169,65.0,1.84
12:36:21.055607,68.42105263157895,1.84
12:36:21.155962,61.904761904761905,1.84
12:36:21.257831,65.0,1.84
12:36:21.358144,70.0,1.84
12:36:21.458435,70.0,1.84
12:36:21.558859,55.00000000000001,1.84
12:36:21.659218,65.0,1.84
12:36:21.761877,70.0,1.84
12:36:21.862185,80.0,1.84
12:36:21.962471,65.0,1.84
12:36:22.062797,71.42857142857143,1.84
12:36:22.163199,70.0,1.84
12:36:22.263821,73.6842105263158,1.84
12:36:22.364180,65.0,1.84
12:36:22.467041,66.66666666666667,1.84
12:36:22.567389,75.0,1.84
12:36:22.667811,75.0,1.84
12:36:22.769021,78.94736842105263,1.84
12:36:22.869452,57.14285714285714,1.84
12:36:22.972818,85.0,1.84
12:36:23.073150,75.0,1.84
12:36:23.173597,61.904761904761905,1.84
12:36:23.274017,75.0,1.84
12:36:23.375794,75.0,1.84
12:36:23.476148,75.0,1.84
12:36:23.576646,80.0,1.84
12:36:23.677837,65.0,1.84
12:36:23.778217,73.6842105263158,1.84
12:36:23.878565,75.0,1.84
12:36:23.979047,71.42857142857143,1.84
12:36:24.080268,63.1578947368421,1.84
12:36:24.180675,68.18181818181819,1.84
12:36:24.281174,63.1578947368421,1.84
12:36:24.381556,70.0,1.84
12:36:24.483943,70.0,1.84
12:36:24.584353,65.0,1.84
12:36:24.684674,73.6842105263158,1.84
12:36:24.785456,76.19047619047619,1.84
12:36:24.887798,71.42857142857143,1.84
12:36:24.988061,68.42105263157895,1.84
12:36:25.088327,75.0,1.84
12:36:25.188759,71.42857142857143,1.84
12:36:25.289179,70.0,1.77
12:36:25.390132,65.0,1.77
12:36:25.490579,60.0,1.77
12:36:25.591175,63.1578947368421,1.77
12:36:25.691588,61.904761904761905,1.77
12:36:25.792926,68.42105263157895,1.77
12:36:25.893302,70.0,1.77
12:36:25.993606,70.0,1.77
12:36:26.093895,70.0,1.77
12:36:26.194826,80.95238095238095,1.77
12:36:26.295106,78.94736842105263,1.77
12:36:26.395430,75.0,1.77
12:36:26.498033,61.904761904761905,1.77
12:36:26.598552,57.14285714285714,1.77
12:36:26.699056,63.1578947368421,1.77
12:36:26.800089,66.66666666666667,1.77
12:36:26.902464,78.94736842105263,1.77
12:36:27.002816,95.23809523809523,1.77
12:36:27.103163,73.6842105263158,1.77
12:36:27.203964,70.0,1.77
12:36:27.306023,75.0,1.77
12:36:27.406374,75.0,1.77
12:36:27.508920,85.0,1.77
12:36:27.609219,76.19047619047619,1.77
12:36:27.709531,63.1578947368421,1.77
12:36:27.809797,77.27272727272727,1.77
12:36:27.911896,85.0,1.77
12:36:28.012199,100.0,1.77
12:36:28.112681,66.66666666666667,1.77
12:36:28.213913,80.0,1.77
12:36:28.314218,76.19047619047619,1.77
12:36:28.417818,70.0,1.77
12:36:28.518152,65.0,1.77
12:36:28.618517,80.0,1.77
12:36:28.719901,70.0,1.77
12:36:28.820222,70.0,1.77
12:36:28.920501,68.42105263157895,1.77
12:36:29.022431,80.95238095238095,1.77
12:36:29.122798,70.0,1.77
12:36:29.223144,65.0,1.77
12:36:29.323499,70.0,1.77
