timestamp_ms,pid,cpu_burst_ms,ground_truth
11666818.47,30722,4.5795,LC
11666833.19,30725,25.3061,BG
11666849.35,30723,4.5938,LC
11666886.26,30722,4.4016,LC
11666892.47,30724,13.8187,LC
11666913.64,30725,30.4917,BG
11666958.29,30723,6.236,LC
11666978.87,30722,7.0808,LC
11666992.82,30725,28.9806,BG
11667072.13,30725,27.2509,BG
11667080.4,30724,3.9945,LC
11667152.2,30725,30.6668,BG
11667156.59,30723,4.2721,LC
11667163.4,30722,4.1139,LC
11667232.97,30725,31.7574,BG
11667267.07,30724,4.0207,LC
11667272.68,30723,4.3291,LC
11667309.67,30725,26.4612,BG
11667326.55,30722,4.2777,LC
11667391.53,30725,31.642,BG
11667469.0,30724,9.9646,LC
11667475.08,30725,33.3576,BG
11667486.2,30723,4.7614,LC
11667514.59,30722,4.5349,LC
11667539.41,30724,10.3836,LC
11667560.43,30725,35.091,BG
11667606.1,30723,4.1139,LC
11667639.87,30725,29.1703,BG
11667664.25,30722,5.0579,LC
11667676.7,30724,4.2528,LC
11667714.48,30725,24.3499,BG
11667726.27,30723,4.0646,LC
11667777.16,30722,4.6698,LC
11667791.64,30725,26.9038,BG
11667827.77,30724,4.1436,LC
11667866.71,30725,24.7019,BG
11667941.33,30725,24.4353,BG
11667945.34,30723,4.0996,LC
11667980.91,30722,4.5509,LC
11668016.95,30725,25.3457,BG
11668059.1,30724,4.0363,LC
11668089.82,30723,7.2762,LC
11668096.21,30725,28.1382,BG
11668168.9,30725,23.4583,BG
11668172.13,30722,5.9988,LC
11668243.65,30725,24.766,BG
11668318.02,30725,24.1983,BG
11668340.68,30724,4.0787,LC
11668346.58,30723,4.0006,LC
11668393.13,30725,23.3847,BG
11668450.19,30722,9.0523,LC
11668469.67,30725,26.4447,BG
11668547.45,30725,27.5842,BG
11668613.15,30724,7.5849,LC
11668630.58,30725,31.9878,BG
11668635.07,30723,4.137,LC
11668699.2,30722,11.086,LC
11668718.65,30725,37.8652,BG
11668732.21,30724,4.0218,LC
