timestamp,cpu_util,runqueue
13:53:59.749610,0.0,5.48
13:53:59.854817,100.0,5.48
13:53:59.955105,100.0,5.48
13:54:00.055415,100.0,5.48
13:54:00.156791,95.0,5.48
13:54:00.257022,100.0,5.48
13:54:00.360848,95.0,5.48
13:54:00.461145,100.0,5.48
13:54:00.563753,100.0,5.48
13:54:00.663997,95.0,5.48
13:54:00.764531,100.0,5.48
13:54:00.864830,95.23809523809523,5.48
13:54:00.965128,100.0,5.48
13:54:01.065465,100.0,5.48
13:54:01.165843,100.0,5.92
13:54:01.266834,100.0,5.92
13:54:01.367853,100.0,5.92
13:54:01.469840,95.23809523809523,5.92
13:54:01.571813,95.0,5.92
13:54:01.672807,90.47619047619048,5.92
13:54:01.775704,100.0,5.92
13:54:01.875965,95.23809523809523,5.92
13:54:01.976294,95.0,5.92
13:54:02.076665,95.0,5.92
13:54:02.177880,100.0,5.92
13:54:02.279775,90.47619047619048,5.92
13:54:02.381783,95.0,5.92
13:54:02.483812,95.0,5.92
13:54:02.585811,100.0,5.92
13:54:02.686101,100.0,5.92
13:54:02.787774,95.23809523809523,5.92
13:54:02.888025,100.0,5.92
13:54:02.988290,100.0,5.92
13:54:03.088575,90.47619047619048,5.92
13:54:03.190767,100.0,5.92
13:54:03.291793,90.47619047619048,5.92
13:54:03.394760,100.0,5.92
13:54:03.495019,100.0,5.92
13:54:03.595282,95.0,5.92
13:54:03.697825,95.23809523809523,5.92
13:54:03.798083,95.0,5.92
13:54:03.898339,100.0,5.92
13:54:03.999929,95.23809523809523,5.92
13:54:04.101680,100.0,5.92
13:54:04.201929,100.0,5.92
13:54:04.302192,95.0,5.92
13:54:04.403775,100.0,5.92
13:54:04.504828,95.0,5.92
13:54:04.606567,95.0,5.92
13:54:04.709786,95.23809523809523,5.92
13:54:04.810047,94.73684210526316,5.92
13:54:04.911784,100.0,5.92
13:54:05.012041,100.0,5.92
13:54:05.112333,100.0,5.92
13:54:05.215880,100.0,5.92
13:54:05.318793,95.23809523809523,5.92
13:54:05.419028,100.0,5.92
13:54:05.519249,94.73684210526316,5.92
13:54:05.619542,95.23809523809523,5.92
13:54:05.719783,100.0,5.92
13:54:05.820052,95.0,5.92
13:54:05.924195,95.23809523809523,5.92
13:54:06.024451,100.0,5.92
13:54:06.126821,95.23809523809523,6.09
13:54:06.228789,95.0,6.09
13:54:06.330768,95.0,6.09
13:54:06.431302,95.0,6.09
13:54:06.533788,100.0,6.09
13:54:06.634062,100.0,6.09
13:54:06.735804,95.45454545454545,6.09
13:54:06.836795,100.0,6.09
13:54:06.937817,100.0,6.09
13:54:07.038785,100.0,6.09
13:54:07.139054,95.0,6.09
13:54:07.240798,95.0,6.09
13:54:07.341075,100.0,6.09
13:54:07.444311,90.9090909090909,6.09
13:54:07.544546,100.0,6.09
13:54:07.645912,100.0,6.09
13:54:07.747802,100.0,6.09
13:54:07.848062,95.23809523809523,6.09
13:54:07.948313,100.0,6.09
13:54:08.048563,100.0,6.09
13:54:08.149829,95.23809523809523,6.09
13:54:08.254026,100.0,6.09
13:54:08.354332,89.47368421052632,6.09
13:54:08.456685,95.0,6.09
13:54:08.556952,100.0,6.09
13:54:08.658104,100.0,6.09
13:54:08.759818,100.0,6.09
13:54:08.860168,100.0,6.09
13:54:08.960484,95.23809523809523,6.09
13:54:09.061812,100.0,6.09
13:54:09.162092,85.0,6.09
13:54:09.262417,95.0,6.09
13:54:09.363765,95.0,6.09
13:54:09.464994,100.0,6.09
13:54:09.565465,100.0,6.09
13:54:09.667783,100.0,6.09
13:54:09.769817,100.0,6.09
13:54:09.870098,95.0,6.09
13:54:09.970454,95.23809523809523,6.09
13:54:10.070909,100.0,6.09
13:54:10.173826,100.0,6.09
