timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
4687083.73,15193,0.659,7.963,8.622
4687144.79,15192,0.391,9.793,10.184
4687207.79,15194,0.281,4.279,4.56
4687218.87,15192,0.182,4.125,4.307
4687218.94,15193,1.166,5.912,7.077
4687303.98,15194,0.349,6.449,6.798
4687332.44,15193,1.899,12.296,14.195
4687334.83,15192,4.203,10.698,14.901
4687512.94,15194,0.178,4.638,4.817
4687626.66,15193,0.35,10.071,10.421
4687643.33,15192,0.273,5.049,5.321
4687769.59,15194,2.124,7.344,9.467
4687793.42,15193,0.125,9.218,9.343
4687890.49,15192,0.38,7.516,7.896
4687957.36,15194,0.786,9.307,10.093
4687991.53,15193,1.386,9.669,11.056
4688119.79,15192,0.212,10.444,10.657
4688128.16,15194,0.159,12.488,12.646
4688151.8,15193,1.22,10.444,11.663
4688171.33,15192,1.313,10.418,11.731
4688210.63,15194,0.389,8.255,8.645
4688274.12,15193,1.556,4.751,6.307
4688337.58,15192,1.973,11.313,13.286
4688390.69,15193,0.123,7.476,7.599
4688392.34,15194,4.939,17.393,22.332
4688399.48,15192,0.116,8.514,8.63
4688456.75,15194,0.324,10.246,10.57
4688492.63,15193,1.446,12.792,14.238
4688588.79,15192,0.19,8.511,8.701
4688678.99,15194,0.639,14.558,15.198
4688720.44,15193,0.348,8.838,9.186
4688754.57,15192,0.176,5.125,5.301
4688803.58,15194,0.179,7.331,7.51
4688893.42,15193,0.727,9.476,10.203
4688925.74,15192,0.144,7.056,7.2
4688936.54,15194,0.126,4.199,4.325
4688980.2,15192,0.2,20.337,20.537
4688980.42,15193,0.386,28.048,28.434
4689001.35,15194,4.505,10.176,14.681
4689068.71,15192,0.158,6.682,6.84
4689112.55,15193,0.163,9.794,9.957
4689228.28,15194,0.17,6.703,6.873
4689571.25,15192,0.173,4.781,4.955
4689651.53,15193,0.18,12.537,12.716
4689742.85,15194,0.173,6.202,6.374
4689752.48,15192,0.103,6.977,7.08
4689778.41,15193,0.105,6.132,6.237
4689790.28,15194,0.117,4.102,4.219
4689816.99,15192,2.143,7.917,10.06
4689821.86,15193,1.272,10.775,12.047
4689896.71,15194,0.142,12.479,12.62
4689897.58,15192,0.103,4.278,4.38
4689935.66,15193,0.11,8.461,8.57
4689937.95,15194,0.111,5.182,5.293
4690022.96,15192,0.134,11.878,12.012
4690072.45,15193,0.465,8.654,9.119
4690141.66,15194,0.146,11.445,11.591
4690144.41,15192,0.276,9.042,9.318
4690183.41,15193,0.17,5.304,5.473
4690199.83,15194,0.198,8.283,8.481
4690286.17,15193,0.078,4.049,4.126
4690286.58,15192,0.258,5.308,5.566
4690297.35,15194,0.132,4.468,4.6
4690309.36,15193,0.091,13.266,13.357
4690324.17,15194,0.078,11.041,11.119
4690338.44,15192,0.065,12.084,12.15
4690342.17,15193,0.052,12.494,12.546
4690348.1,15194,0.064,4.47,4.535
4690365.91,15192,1.28,7.321,8.602
4690376.6,15193,0.065,4.201,4.266
4690490.08,15194,0.147,4.23,4.377
4690502.42,15192,0.106,7.677,7.783
4690503.66,15193,0.084,7.839,7.923
4690539.5,15192,6.294,4.391,10.685
4690542.73,15194,0.1,14.411,14.512
4690567.44,15193,0.098,13.275,13.373
4690628.72,15192,0.195,4.057,4.252
4690685.4,15194,0.141,5.183,5.324
4690701.45,15193,0.11,4.206,4.316
4690712.31,15192,0.079,4.051,4.13
4690742.61,15194,0.101,4.366,4.468
4690768.92,15193,0.115,4.029,4.144
4690836.53,15192,0.128,11.505,11.633
4690879.67,15194,0.134,9.504,9.638
4690901.65,15193,0.17,8.73,8.9
4690930.17,15192,1.776,4.191,5.967
4690952.17,15194,0.952,10.819,11.771
4690973.86,15193,0.22,4.39,4.61
4691014.12,15192,0.196,4.984,5.18
4691020.76,15194,0.096,4.438,4.534
4691031.0,15193,0.093,5.211,5.304
4691039.56,15192,0.079,11.731,11.809
4691041.15,15194,0.074,9.737,9.811
4691045.61,15193,0.911,8.488,9.398
4691080.07,15192,1.665,8.236,9.901
4691099.1,15194,0.215,7.366,7.581
4691131.9,15193,0.169,4.136,4.304
4691140.96,15192,0.104,4.206,4.31
4691152.04,15194,0.187,4.199,4.386
4691168.16,15193,0.106,7.976,8.082
4691228.02,15192,0.124,4.359,4.483
4691274.85,15194,0.09,8.06,8.15
4691276.23,15193,0.066,7.843,7.909
4691341.96,15192,0.125,5.136,5.261
4691350.95,15194,0.177,8.841,9.017
4691354.14,15193,1.373,5.734,7.106
4691368.88,15192,0.137,5.801,5.938
4691374.3,15194,1.547,7.584,9.131
4691393.88,15193,0.099,4.984,5.083
4691411.03,15192,0.089,5.058,5.146
4691425.42,15194,1.439,8.279,9.719
4691443.05,15193,0.125,4.872,4.997
4691468.13,15192,0.291,5.146,5.437
4691537.06,15194,0.16,8.599,8.759
4691548.63,15193,2.519,5.777,8.297
4691573.5,15192,2.476,8.388,10.864
4691604.21,15194,0.151,4.17,4.321
4691638.7,15193,0.165,4.427,4.592
4691668.61,15192,1.822,8.439,10.261
4691679.67,15194,0.107,5.397,5.503
4691696.37,15193,0.12,4.25,4.37
4691715.68,15192,0.146,6.498,6.644
4691729.33,15194,0.422,12.11,12.532
4691772.0,15192,1.646,6.722,8.368
4691776.31,15193,2.157,14.051,16.209
4691805.48,15194,0.237,4.867,5.104
