timestamp_ms,pid,label,mean_burst_ms,threshold_ms
4298669.9,20546,LC,5.554,30.0
4298670.23,20545,LC,5.833,30.0
4298670.42,20548,LC,28.938,30.0
4298670.58,20547,LC,5.832,30.0
4333828.76,20548,BG,32.682,30.0
4453143.91,21893,BG,37.491,30.0
4540590.71,21893,LC,28.658,30.0
