timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
1253535.38,7288,1.071,8.695,9.766
1253536.71,7289,0.183,8.102,8.285
1253563.2,7290,0.305,5.817,6.122
1253595.36,7288,0.153,4.333,4.487
1253614.88,7289,0.126,6.681,6.806
1253681.14,7290,0.319,4.285,4.604
1253748.3,7288,0.173,7.702,7.875
1253759.31,7289,0.246,8.663,8.909
1253919.8,7290,0.296,7.102,7.398
1253954.89,7288,1.881,7.714,9.595
1253999.64,7289,0.174,10.732,10.905
1254036.93,7290,0.183,8.616,8.799
1254043.37,7288,0.152,4.277,4.429
1254097.12,7289,0.203,10.149,10.352
1254099.57,7290,0.091,6.232,6.323
1254146.13,7288,0.203,6.279,6.481
1254307.19,7289,0.241,12.852,13.092
1254333.24,7290,0.127,4.872,4.999
1254631.67,7288,0.208,7.043,7.251
1254682.62,7289,2.038,12.461,14.499
1254699.38,7290,0.986,8.12,9.106
1254849.9,7288,1.265,9.654,10.919
1254850.31,7289,0.177,7.931,8.109
1254853.31,7290,3.921,5.987,9.907
1254890.13,7289,0.956,9.074,10.03
1254890.82,7288,3.393,15.437,18.83
1254937.76,7290,0.363,7.232,7.594
1254951.6,7289,0.324,7.302,7.626
1255002.91,7288,0.216,6.541,6.758
1255032.41,7290,0.193,7.496,7.689
1255060.3,7289,0.191,8.008,8.2
1255071.47,7288,0.385,10.968,11.353
1255080.64,7290,0.157,5.914,6.071
1255116.84,7289,0.207,15.653,15.861
1255121.03,7288,0.165,16.62,16.784
1255121.85,7290,0.136,11.186,11.321
1255133.32,7288,8.74,12.105,20.846
1255130.98,7289,6.196,13.918,20.114
1255173.19,7290,0.355,4.059,4.414
1255174.07,7288,0.185,4.074,4.259
1255220.61,7289,0.34,10.165,10.505
1255238.43,7290,1.822,11.591,13.413
1255250.5,7288,1.17,6.29,7.46
1255332.54,7289,0.201,8.301,8.502
1255333.11,7290,0.07,6.935,7.005
1255444.09,7288,0.274,8.192,8.466
1255532.1,7290,0.171,5.714,5.885
1255698.45,7289,0.198,6.152,6.349
1255774.87,7288,0.118,6.011,6.128
1255900.15,7290,0.186,3.996,4.182
1255920.46,7289,2.282,6.341,8.623
1255959.31,7288,0.384,5.743,6.127
1255981.46,7290,0.721,6.217,6.938
1255999.63,7289,0.258,8.497,8.755
1256006.05,7288,0.691,6.303,6.994
1256157.92,7290,0.407,6.48,6.887
1256192.95,7289,0.371,4.938,5.309
1256198.12,7288,0.131,4.872,5.003
1256206.47,7290,0.092,4.497,4.589
1256211.02,7289,0.191,4.231,4.422
1256233.34,7288,0.083,8.084,8.167
1256258.48,7290,0.113,4.221,4.334
1256325.68,7289,0.146,4.053,4.199
1256330.39,7288,0.128,4.147,4.275
1256393.2,7290,1.085,8.029,9.114
1256402.6,7289,0.125,5.43,5.555
1256405.2,7288,0.676,5.106,5.782
1256410.65,7290,0.212,4.362,4.574
1256444.6,7289,2.449,7.403,9.852
1256444.77,7288,2.316,5.565,7.881
1256450.9,7290,0.299,8.607,8.906
1256452.47,7289,0.913,7.751,8.664
1256485.29,7288,0.129,4.481,4.609
1256494.09,7290,0.323,6.242,6.565
1256501.84,7289,0.147,13.462,13.609
1256570.82,7288,0.719,12.467,13.186
1256586.67,7290,0.169,4.462,4.631
1256610.37,7289,0.162,5.976,6.138
1256619.29,7290,0.114,8.11,8.224
1256620.78,7288,0.227,12.714,12.942
1256630.26,7290,0.191,4.828,5.019
1256632.78,7289,0.173,10.539,10.712
1256635.22,7288,0.524,4.163,4.686
1256654.32,7289,0.1,11.75,11.85
1256696.45,7290,0.17,11.666,11.836
1256703.29,7288,0.124,14.327,14.451
1256731.08,7289,0.579,8.235,8.814
1256741.41,7290,0.172,4.152,4.323
1256757.49,7288,0.106,4.222,4.328
1256763.24,7289,0.085,3.974,4.059
1256769.61,7290,1.645,6.172,7.816
1256780.07,7288,0.062,7.046,7.108
1256793.86,7289,0.116,8.051,8.167
1256795.36,7290,0.049,7.771,7.82
1256796.84,7288,0.049,7.952,8.0
1256802.11,7289,3.911,8.154,12.066
1256802.88,7290,2.096,7.441,9.537
1256809.4,7288,2.909,8.34,11.249
1256815.36,7289,1.775,8.203,9.978
1256816.11,7288,3.447,6.604,10.05
1256840.24,7290,0.139,4.039,4.178
1256992.72,7289,0.162,4.085,4.247
1256999.8,7288,0.201,4.539,4.74
1257002.28,7290,1.14,4.082,5.222
1257027.1,7289,0.185,5.457,5.642
1257033.1,7288,0.106,6.979,7.085
1257045.14,7289,0.146,11.763,11.909
1257072.41,7288,0.13,7.505,7.635
1257075.37,7290,0.143,15.431,15.573
1257092.08,7289,0.178,8.366,8.544
1257110.36,7288,0.256,5.291,5.547
1257117.92,7290,0.175,4.427,4.602
1257136.34,7289,0.158,4.942,5.1
1257145.77,7288,0.334,5.994,6.328
1257213.2,7290,0.253,4.456,4.709
1257238.97,7289,2.355,6.83,9.184
1257246.99,7288,2.065,9.782,11.847
1257326.34,7289,0.178,8.22,8.398
1257365.64,7290,0.336,4.139,4.475
1257376.59,7288,0.304,4.825,5.13
1257386.99,7289,1.737,8.111,9.848
1257389.88,7290,1.561,5.789,7.349
1257413.77,7288,0.34,8.328,8.668
1257423.51,7289,0.166,4.607,4.774
1257446.39,7290,0.176,5.358,5.534
1257463.84,7288,0.23,5.107,5.337
1257491.82,7289,0.524,4.225,4.748
1257519.93,7290,0.275,14.54,14.815
1257520.23,7288,2.307,5.749,8.056
1257533.5,7289,0.222,4.245,4.467
1257559.33,7290,0.405,4.705,5.11
1257579.2,7288,0.196,8.134,8.33
1257604.78,7289,0.252,4.32,4.572
1257617.53,7290,0.157,4.509,4.665
1257620.36,7288,0.264,5.755,6.019
1257632.68,7289,0.176,4.092,4.268
1257647.89,7290,2.031,5.761,7.792
1257661.48,7288,0.204,8.008,8.212
1257669.75,7289,0.143,7.093,7.236
1257704.88,7290,0.31,5.124,5.434
1257743.02,7288,0.903,8.777,9.68
1257786.03,7289,0.168,9.58,9.748
1257787.55,7290,0.253,9.945,10.198
1257795.76,7288,0.143,4.036,4.179
1257804.32,7289,0.104,7.05,7.154
1257828.6,7290,2.008,9.103,11.111
1257828.94,7288,0.17,6.665,6.835
1257846.99,7289,0.21,7.143,7.354
1257855.56,7290,0.128,6.335,6.462
1257860.16,7290,0.156,4.183,4.339
1257861.99,7288,2.104,6.407,8.511
1257869.84,7289,0.135,5.63,5.764
1257872.63,7290,0.066,5.026,5.092
1257937.62,7288,0.19,4.398,4.588
1257972.38,7289,1.135,4.136,5.271
1258013.29,7290,0.266,3.982,4.248
1258052.79,7288,0.251,8.45,8.701
1258053.33,7289,1.094,7.186,8.28
1258107.37,7290,0.135,5.368,5.503
1258182.61,7288,0.173,7.181,7.354
1258183.73,7289,0.155,6.694,6.848
1258194.48,7290,0.14,4.257,4.397
1258216.67,7288,0.138,4.208,4.345
1258242.97,7289,0.222,4.752,4.973
1258309.7,7290,0.234,4.525,4.759
1258413.08,7288,0.174,6.347,6.521
1258417.23,7289,0.105,8.062,8.167
1258443.27,7290,0.25,4.242,4.492
1258479.86,7288,0.302,4.92,5.222
1258498.62,7289,2.741,6.191,8.932
1258614.06,7290,0.165,4.255,4.42
1258659.46,7288,1.046,8.339,9.385
1258673.12,7289,0.164,4.016,4.179
1258696.01,7290,0.1,4.044,4.145
1258735.51,7288,0.345,12.409,12.755
1258870.11,7289,0.172,4.402,4.574
1258906.77,7290,0.291,9.316,9.607
