timestamp,cpu_util,runqueue
19:43:39.875226,0.0,0.75
19:43:39.975584,95.0,0.75
19:43:40.076709,57.14285714285714,0.75
19:43:40.177210,47.36842105263158,0.75
19:43:40.277611,55.00000000000001,0.75
19:43:40.378395,50.0,0.75
19:43:40.478869,47.61904761904761,0.75
19:43:40.579519,31.57894736842105,0.75
19:43:40.680501,38.095238095238095,0.75
19:43:40.781403,60.0,0.75
19:43:40.882587,68.42105263157895,0.75
19:43:40.984479,95.0,0.75
19:43:41.091485,95.65217391304348,0.93
19:43:41.191930,47.36842105263158,0.93
19:43:41.292687,42.10526315789473,0.93
19:43:41.393515,42.85714285714286,0.93
19:43:41.493965,85.0,0.93
19:43:41.594640,26.315789473684216,0.93
19:43:41.695177,35.0,0.93
19:43:41.796502,50.0,0.93
19:43:41.896790,57.14285714285714,0.93
19:43:41.997211,36.8421052631579,0.93
19:43:42.098452,40.0,0.93
19:43:42.198750,55.00000000000001,0.93
19:43:42.299214,45.45454545454546,0.93
19:43:42.400676,44.99999999999999,0.93
19:43:42.506618,38.095238095238095,0.93
19:43:42.611547,55.00000000000001,0.93
19:43:42.712013,50.0,0.93
19:43:42.812705,36.8421052631579,0.93
19:43:42.913097,44.99999999999999,0.93
19:43:43.013486,50.0,0.93
19:43:43.113792,44.99999999999999,0.93
19:43:43.214520,40.0,0.93
19:43:43.315232,36.8421052631579,0.93
19:43:43.416502,52.38095238095239,0.93
19:43:43.517441,52.38095238095239,0.93
19:43:43.618037,40.0,0.93
19:43:43.718976,33.333333333333336,0.93
19:43:43.819815,42.85714285714286,0.93
19:43:43.920453,52.38095238095239,0.93
19:43:44.021233,57.89473684210527,0.93
19:43:44.121798,40.0,0.93
19:43:44.222471,50.0,0.93
19:43:44.323753,35.0,0.93
19:43:44.424175,52.63157894736843,0.93
19:43:44.524609,50.0,0.93
19:43:44.625183,30.000000000000004,0.93
19:43:44.726250,42.85714285714286,0.93
19:43:44.827425,55.00000000000001,0.93
19:43:44.928058,50.0,0.93
19:43:45.028589,40.0,0.93
19:43:45.129560,31.57894736842105,0.93
19:43:45.231745,42.85714285714286,0.93
19:43:45.332532,44.99999999999999,0.93
19:43:45.432904,59.09090909090908,0.93
19:43:45.533379,42.10526315789473,0.93
19:43:45.634066,35.0,0.93
19:43:45.734568,47.36842105263158,0.93
19:43:45.838513,52.17391304347826,0.93
19:43:45.938792,52.63157894736843,0.93
19:43:46.039030,55.00000000000001,0.93
19:43:46.139374,44.99999999999999,0.86
19:43:46.239821,47.36842105263158,0.86
19:43:46.341576,47.61904761904761,0.86
19:43:46.443523,55.00000000000001,0.86
19:43:46.543881,66.66666666666667,0.86
19:43:46.645477,40.0,0.86
19:43:46.746499,40.0,0.86
19:43:46.847435,61.904761904761905,0.86
19:43:46.947718,57.89473684210527,0.86
19:43:47.048014,50.0,0.86
19:43:47.148439,47.61904761904761,0.86
19:43:47.248945,35.0,0.86
19:43:47.349609,36.8421052631579,0.86
19:43:47.450244,57.89473684210527,0.86
19:43:47.553878,63.63636363636363,0.86
19:43:47.654492,40.0,0.86
19:43:47.755573,44.99999999999999,0.86
19:43:47.856217,44.99999999999999,0.86
19:43:47.957439,61.904761904761905,0.86
19:43:48.057900,52.63157894736843,0.86
19:43:48.158438,40.0,0.86
19:43:48.259536,44.99999999999999,0.86
19:43:48.364640,52.38095238095239,0.86
19:43:48.464925,55.00000000000001,0.86
19:43:48.565499,35.0,0.86
19:43:48.666156,40.0,0.86
19:43:48.767444,57.14285714285714,0.86
19:43:48.867935,60.0,0.86
19:43:48.968551,40.0,0.86
19:43:49.069241,47.36842105263158,0.86
19:43:49.169646,44.99999999999999,0.86
19:43:49.271533,66.66666666666667,0.86
19:43:49.372002,40.0,0.86
19:43:49.473620,30.000000000000004,0.86
19:43:49.574163,36.8421052631579,0.86
19:43:49.674687,50.0,0.86
19:43:49.775440,50.0,0.86
19:43:49.876607,40.0,0.86
19:43:49.977162,42.10526315789473,0.86
19:43:50.078580,42.85714285714286,0.86
19:43:50.178990,50.0,0.86
19:43:50.279328,47.36842105263158,0.86
19:43:50.379903,40.0,0.86
19:43:50.480514,35.0,0.86
19:43:50.581022,42.85714285714286,0.86
19:43:50.682594,50.0,0.86
19:43:50.783068,50.0,0.86
19:43:50.884084,35.0,0.86
19:43:50.985052,42.85714285714286,0.86
19:43:51.085979,44.99999999999999,0.79
19:43:51.190455,52.38095238095239,0.79
19:43:51.290901,44.99999999999999,0.79
19:43:51.391662,31.57894736842105,0.79
19:43:51.492396,25.0,0.79
19:43:51.594490,57.14285714285714,0.79
19:43:51.695172,42.10526315789473,0.79
19:43:51.795741,38.095238095238095,0.79
19:43:51.897624,42.85714285714286,0.79
19:43:51.997934,55.00000000000001,0.79
19:43:52.098417,47.36842105263158,0.79
19:43:52.199145,35.0,0.79
19:43:52.300181,42.10526315789473,0.79
19:43:52.401545,56.52173913043479,0.79
19:43:52.502449,57.89473684210527,0.79
19:43:52.602862,50.0,0.79
19:43:52.704144,36.8421052631579,0.79
19:43:52.805067,45.45454545454546,0.79
19:43:52.905771,47.36842105263158,0.79
19:43:53.006404,60.0,0.79
19:43:53.106876,47.36842105263158,0.79
